year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38017,30789,49369,20569,43979,0,0,0,0,0,0,0,0,9524,12826,10999,11567,13201,35060,567670,34179,33817,43231,43304,40532,
9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13965,10560,6572,8904,6759,8,68,6187,8223,1597,1386,1602,2757,3177,2486,3322,3478,13226,13423,14577,15146,15348,17135,
9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982,11010,4960,740,728,779,1437,1325,1458,2866,,,,,,,,,,,,,,
9263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17867,12724,11232,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,,,,,,
9326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,1030,1331,2845,4252,5115,3916,4750,5421,0,7952,0,6312,6833,5829,5286,5333,5903,4820,6083,
9342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6106,29883,6269,7408,8181,0,0,0,0,0,0,0,0,4578,5105,6271,5116,,,,,,,,,
9389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19936,15710,13974,16327,13608,0,0,0,0,0,0,3180,0,0,0,0,0,3824,4475,4846,4491,4307,3472,4486,5680,
9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11991,9942,9245,17081,1920,1009,745,966,1820,1181,2259,3065,4186,4598,,,,,,,,,,,,
9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20480,24155,103639,71008,43664,2739,2118,3289,9524,2996,5074,8947,,0,0,,,,,,,,,,,
9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12935,15338,15311,28040,0,0,0,0,0,0,10607,0,6255,,,,,,,,,,,,,
9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97324,25160,27939,20442,15781,29089,11005,12702,30772,4634,7819,9226,8401,16834,5713,4659,10006,4707,5819,5515,6367,6805,7722,7023,,
9984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18856,23864,49543,27214,24540,21922,0,0,0,7432,6827,8755,8757,11881,8509,5851,6516,26173,29055,30847,32932,32403,32231,37716,
10048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15977,,,,,,,,,,,10274,28716,8190,8681,6829,7159,6302,5596,7033,28060,28702,26458,,
10081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19074,20017,8478,6135,5768,0,7648,5314,6905,5129,5829,7260,7211,7385,,,,,,,,,,,
10119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43800,,,1001,298,690,,,,,,,,,,,,,,,,,,
10254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,10925,8955,9804,3102,9592,1759,8597,15619,27848,16729,
10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14648,11780,17711,6826,20,20,20,20,20,20,27707,27517,20,20,20,20,13530,13064,12555,13636,12036,12716,11030,11268,11045,
10795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20159,11056,12021,0,0,0,0,0,0,0,0,0,0,0,0,7201,7875,8120,7842,8512,9418,34062,32525,31014,,
11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,23954,0,0,0,0,0,0,20958,22433,23043,23209,24748,27786,
11390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34508,13712,16558,27871,718,3021,2672,,,,,,,,,,,,,,,,,,,
