CIK,Year,Sentimental Score
3570,1997,3388
3570,1997,3388
3570,1997,3041
3570,1997,2214
3570,1997,2272
3673,2010,7455
3673,2010,8114
3673,2010,5348
3673,2009,8248
3673,2009,8869
3673,2009,7086
3673,2008,9279
3673,2008,8402
3673,2008,4990
3673,2007,9610
3673,2007,15492
3673,2007,9536
3673,2006,9723
3673,2006,8994
3673,2006,6124
3673,2005,14826
3673,2005,9986
3673,2005,8136
3673,2005,8136
3673,2004,8177
3673,2004,5431
3673,2004,4689
3673,2004,9164
3673,2004,9032
3673,2003,8177
3673,2003,8047
3673,2002,0
3673,2002,0
3673,2001,0
3673,2001,0
3673,2001,0
3673,2001,0
3673,2001,0
3673,2000,0
3673,2000,0
3673,2000,0
3673,2000,0
3673,1999,0
3673,1999,0
3673,1999,0
3673,1998,0
3673,1998,0
3673,1998,0
3673,1997,0
3673,1997,0
3673,1997,0
3673,1996,0
3673,1996,0
3673,1996,0
3673,1995,0
3673,1995,0
3673,1995,0
3673,1994,0
3673,1994,0
3673,1994,0
3721,2003,0
3721,2002,0
3721,2002,0
3721,2002,0
3721,2001,0
3721,2001,0
3721,2001,0
3721,2000,0
3721,2000,0
3721,2000,0
3721,1999,0
3721,1999,0
3721,1999,0
3721,1998,0
3721,1998,0
3721,1998,0
3721,1997,0
3721,1997,0
3721,1997,0
3721,1996,0
3721,1996,0
3721,1996,0
3721,1996,0
3721,1995,0
3721,1995,0
3721,1995,0
3721,1994,0
3721,1994,0
3721,1994,0
3753,2004,1286
3753,2004,1518
3753,2004,1555
3753,2003,309
3753,2003,49
3753,2003,209
3753,2002,0
3753,2002,-11
3753,2002,-210
3753,2001,0
3753,2001,289
3753,2001,1048
3753,2000,1812
3753,2000,1640
3753,2000,1417
3753,1999,8653
3753,1999,1372
3753,1999,1378
3753,1998,1709
3753,1998,1795
3753,1998,1787
3753,1997,2263
3753,1997,2406
3753,1997,1313
3753,1996,1466
3753,1996,1485
3753,1996,1355
3753,1995,1386
3753,1995,1489
3753,1995,927
3753,1994,887
3753,1994,1072
3941,2000,0
3941,2000,0
3941,2000,794
3941,2000,1937
3941,2000,2186
3941,1999,19477
3941,1999,2578
3941,1999,4602
3941,1999,4363
3941,1999,1560
3941,1999,372
3941,1998,4562
3941,1998,4323
3941,1998,1520
3941,1997,4741
3941,1997,9979
3941,1997,1155
3941,1996,2266
3941,1996,2090
3941,1996,739
3941,1995,2532
3941,1995,3219
3941,1995,1114
3941,1994,1593
3941,1994,1232
3941,1994,399
3952,2013,3073
3952,2013,2393
3952,2012,3026
3952,2012,3097
3952,2012,2506
3952,2011,2347
3952,2011,0
3952,2011,1931
3952,2011,1741
3952,2010,3331
3952,2010,0
3952,2010,0
3952,2009,0
3952,2009,0
3952,2009,0
3952,2008,0
3952,2008,0
3952,2008,0
3952,2007,332
3952,2007,140
3952,2007,0
3952,2007,0
3952,2006,0
3952,2006,0
3952,2006,0
3952,2005,0
3952,2005,0
3952,2005,0
3952,2005,0
3952,2005,0
3952,2005,0
3952,2005,0
3952,2004,0
3952,2004,0
3952,2004,0
3952,2003,0
3952,2003,0
3952,2003,0
3952,2002,0
3952,2002,0
3952,2002,0
3952,2001,0
3952,2001,2691
3952,2001,2685
3952,2000,0
3952,2000,1639
3952,2000,1970
3952,1999,1613
3952,1999,4257
3952,1999,1328
3952,1998,2397
3952,1998,2114
3952,1998,1553
3952,1997,1898
3952,1997,2248
3952,1997,1522
3952,1996,2007
3952,1996,2188
3952,1996,0
3952,1996,1735
3952,1995,1993
3952,1995,1732
3952,1995,1932
3982,2011,3431
3982,2011,3221
3982,2011,2108
3982,2010,8966
3982,2010,1893
3982,2010,3100
3982,2009,4749
3982,2009,0
3982,2009,5003
3982,2008,7552
3982,2008,7486
3982,2008,4915
3982,2007,7555
3982,2007,7484
3982,2007,5969
3982,2006,0
3982,2006,7855
3982,2006,7855
3982,2006,5766
3982,2006,5760
3982,2005,8096
3982,2005,0
3982,2005,0
3982,2005,0
3982,2005,0
3982,2005,5819
3982,2005,7605
3982,2005,14355
3982,2005,7006
3982,2005,8777
3982,2005,7279
3982,2005,4237
3982,2005,12090
3982,2005,5582
3982,2005,4962
3982,2005,6662
3982,2004,6553
3982,2004,1975
3982,2004,1134
3982,2003,1569
3982,2003,1236
3982,2003,1169
3982,2002,-8
3982,2002,-8
3982,2002,1152
3982,2002,1750
3982,2001,6165
3982,2001,1361
3982,2001,1661
3982,2001,626
3982,2000,2397
3982,2000,2457
3982,2000,2188
3982,1999,4577
3982,1999,12813
3982,1999,718
3982,1998,818
3982,1998,767
3982,1998,958
3982,1997,681
3982,1997,399
3982,1997,559
3982,1996,303
3982,1996,421
3982,1996,601
3982,1995,-50
3982,1995,101
3982,1995,410
4127,2018,6892
4127,2018,6715
4127,2018,7084
4127,2017,6931
4127,2017,6422
4127,2017,6085
4127,2016,6277
4127,2016,5913
4127,2016,5366
4127,2015,6135
4127,2015,5906
4127,2015,5860
4127,2014,5857
4127,2014,5639
4127,2014,5102
4127,2013,4219
4127,2013,4351
4127,2013,4786
4127,2012,6600
4127,2012,6281
4127,2012,4094
4127,2011,0
4127,2011,1901
4127,2011,1311
4127,2011,1281
4127,2010,3324
4127,2010,2326
4127,2010,2208
4127,2009,3647
4127,2009,4358
4127,2009,7811
4127,2008,2831
4127,2008,2991
4127,2008,2603
4127,2007,2418
4127,2007,2562
4127,2007,3971
4127,2006,5671
4127,2006,4739
4127,2006,2772
4127,2005,3317
4127,2005,3135
4127,2005,3573
4127,2004,3598
4127,2004,5620
4127,2004,6033
4127,2003,0
4127,2003,0
4127,2003,0
4127,2002,0
4127,2002,0
4127,2001,0
4127,2001,0
4127,2001,0
4127,2000,0
4127,2000,0
4127,2000,0
4127,1999,0
4127,1999,0
4127,1999,0
4127,1998,0
4127,1998,0
4127,1998,0
4127,1997,0
4127,1997,0
4127,1997,0
4127,1996,0
4127,1996,0
4127,1996,0
4127,1995,0
4127,1995,0
4127,1995,0
4127,1995,0
4164,2006,0
4164,2006,0
4164,2006,0
4164,2005,0
4164,2005,0
4164,2005,3228
4164,2005,3716
4164,2004,3073
4164,2004,2822
4164,2004,2553
4164,2003,3891
4164,2003,4853
4164,2003,3318
4164,2002,4533
4164,2002,3625
4164,2002,0
4164,2001,3854
4164,2001,3266
4164,2001,1837
4164,2000,1762
4164,2000,1629
4164,2000,1413
4164,1999,1316
4164,1999,1074
4164,1999,7890
4164,1998,3797
4164,1998,1611
4164,1998,11571
4164,1997,2155
4164,1997,1187
4164,1997,2528
4164,1996,1598
4164,1996,506
4164,1996,670
4164,1996,0
4164,1995,497
4164,1995,1071
4164,1995,1001
4164,1995,0
4164,1995,327
4164,1995,327
4164,1995,1092
4164,1995,1324
4187,2018,0
4187,2018,0
4187,2017,0
4187,2017,0
4187,2017,0
4187,2016,0
4187,2016,0
4187,2016,9352
4187,2015,6854
4187,2015,7684
4187,2015,7088
4187,2014,9468
4187,2014,8669
4187,2014,9177
4187,2014,7289
4187,2013,6509
4187,2013,7242
