CIK,Year,Sentimental Score
7039,2014,8187
7039,2013,6704
7039,2012,7176
7039,2011,6916
7039,2010,5945
7039,2009,0
7039,2008,0
7039,2007,2809
7039,2006,14615
7039,2005,8292
7039,2004,9873
7039,2002,5200
7039,2001,4080
7039,2000,3370
7039,1999,2318
7039,1998,6465
7039,1997,5881
7039,1996,1342
7039,1995,0
7084,2018,18969
7084,2017,28000
7084,2016,23719
7084,2015,30028
7084,2014,24138
7084,2013,22747
7084,2012,4833
7084,2011,7569
7084,2010,2966
7084,2009,0
7084,2008,3039
7084,2007,0
7084,2006,0
7084,2005,2865
7084,2004,10318
7084,2003,6937
7084,2002,1292
7084,2001,0
7084,2000,0
7084,1999,0
7084,1998,22
7084,1997,0
7084,1996,0
7084,1995,160
7084,1994,0
7332,2018,10753
7332,2017,13699
7332,2016,11871
7332,2015,13753
7332,2014,13983
7332,2013,673778
7332,2012,26377
7332,2011,14655
7332,2010,14307
7332,2009,11756
7332,2008,10657
7332,2007,9135
7332,2006,12420
7332,2005,10287
7332,2004,11401
7332,2003,12419
7332,2002,0
7332,2001,0
7332,2000,0
7332,1999,0
7332,1998,0
7332,1997,0
7332,1996,0
7332,1995,0
7332,1994,0
7431,2018,8485
7431,2017,6657
7431,2016,5987
7431,2015,5158
7431,2014,7271
7431,2013,6667
7431,2012,3968
7431,2011,25388
7431,2010,20825
7431,2009,14477
7431,2008,7895
7431,2007,11534
7431,2006,23006
7431,2005,8637
7431,2004,11336
7431,2003,-1805
7431,2002,4936
7431,2001,3773
7431,2000,9626
7431,1999,4465
7431,1998,21211
7431,1997,11840
7431,1996,11484
7431,1995,7148
7431,1994,6137
7536,2018,20491
7536,2017,27578
7536,2016,25462
7536,2015,29850
7536,2014,31549
7536,2013,26969
7536,2012,26813
7536,2011,30556
7536,2010,1788
7536,2009,17571
7536,2008,27666
7536,2007,18968
7536,2006,5555
7536,2005,2187
7536,2004,6992
7536,2003,1479
7536,2002,1837
7536,2001,770
7536,2000,1182
7536,1999,2018
7536,1998,1175
7536,1997,3337
7536,1996,25056
7536,1995,2912
7536,1994,3321
8063,2018,14382
8063,2017,22039
8063,2016,14878
8063,2015,15444
8063,2014,7550
8063,2013,6593
8063,2012,4364
8063,2011,4261
8063,2010,5306
8063,2009,3560
8063,2008,4647
8063,2007,21544
8063,2006,6020
8063,2005,4485
8063,2004,2734
8063,2003,1125
8063,2002,1937
8063,2001,3798
8063,2000,2605
8063,1999,3498
8063,1998,3837
8063,1997,2969
8063,1995,855
8146,2018,24774
8146,2017,34745
8146,2016,26542
8146,2015,9016
8146,2014,22883
8146,2013,21580
8146,2012,22606
8146,2011,22633
8146,2010,19156
8146,2009,21150
8146,2008,21367
8146,2007,15072
8146,2006,16358
8146,2005,0
8146,2004,0
8146,2003,0
8146,2002,0
8146,2001,0
8146,2000,0
8146,1999,0
8146,1998,0
8146,1997,0
8146,1996,0
8146,1995,0
8411,2017,19983
8411,2016,16598
8411,2015,15105
8411,2014,23984
8411,2013,20390
8411,2012,10284
8411,2011,0
8411,2010,0
8411,2009,0
8411,2008,0
8411,2007,0
8411,2006,5368
8411,2005,0
8411,2004,0
8411,2003,2586
8411,2002,0
8411,2001,0
8411,2000,0
8411,1999,0
8411,1998,0
8411,1997,0
8411,1996,0
8411,1995,0
8411,1994,0
8670,2018,35316
8670,2017,33110
8670,2016,37004
8670,2015,35379
8670,2014,30707
8670,2013,37621
8670,2012,44944
8670,2011,25696
8670,2010,12221
8670,2009,25420
8670,2008,22792
8670,2007,12959
8670,2006,17819
8670,2005,15122
8670,2004,11542
8670,2003,8408
8670,2002,2147
8670,2001,0
8670,2000,0
8670,1999,0
8670,1998,0
8670,1997,249
8670,1996,0
8670,1995,0
8670,1994,0
8818,2018,11584
8818,2017,13663
8818,2016,10075
8818,2015,10698
8818,2014,10726
8818,2013,11245
8818,2012,10460
8818,2011,9638
8818,2010,7843
8818,2009,8575
8818,2008,13091
8818,2007,16443
8818,2006,19174
8818,2005,18701
8818,2004,11685
8818,2003,13184
8818,2002,19462
8818,2001,4042
8818,2000,8461
8818,1999,6362
8818,1998,0
8818,1997,0
8818,1996,0
8818,1995,0
8818,1994,0
8858,2018,12538
8858,2017,18937
8858,2016,15943
8858,2015,15248
8858,2014,21084
8858,2013,16046
8858,2012,15348
8858,2011,20366
8858,2010,15389
8858,2009,13736
8858,2008,22791
8858,2007,21659
8858,2006,28651
8858,2005,23798
8858,2004,14710
8858,2003,6331
8858,2002,4246
8858,2001,4288
8858,2000,3928
8858,1999,2725
8858,1998,3274
8858,1997,4872
8858,1996,7375
8858,1995,6569
8858,1994,5396
8868,2018,40479
8868,2017,31569
8868,2016,42773
8868,2015,38357
8868,2014,36489
8868,2013,38509
8868,2012,40347
8868,2011,32350
8868,2010,34680
8868,2009,29133
8868,2008,37276
8868,2007,31203
8868,2006,25459
8868,2005,20252
8868,2004,21597
8868,2003,12655
8868,2002,72452
8868,2001,28497
8868,2000,18079
8868,1999,14118
8868,1998,23212
8868,1997,17337
8868,1996,52396
8868,1995,14060
8868,1994,63937
9092,2018,0
9092,2017,0
9092,2016,0
9092,2015,0
9092,2014,0
9092,2013,0
9092,2012,0
9092,2011,0
9092,2010,0
9092,2009,0
9092,2008,0
9092,2007,0
9092,2006,0
9092,2005,0
9092,2004,0
9092,2003,0
9092,2002,0
9092,2001,0
9092,2000,0
9092,1999,0
9092,1998,0
9092,1997,0
9092,1996,0
9092,1995,0
9096,2005,4027
9096,2004,-184
9096,2003,919
9096,2002,432
9096,2001,1141
9096,2000,-516
9096,1999,608
9096,1998,3569
9096,1997,3692
9096,1996,2078
9096,1995,2278
9263,2013,15488
9263,2012,24074
9263,2011,21406
9263,2010,12653
9263,2009,11812
9263,2008,16097
9263,2007,16740
9263,2006,12604
9263,2005,1739
9263,2004,4687
9263,2003,4428
9263,2002,2838
9263,2001,5163
9263,2000,2368
9263,1999,1683
9263,1998,0
9263,1997,0
9263,1996,0
9263,1995,0
9326,2018,4244
9326,2017,7385
9326,2016,4552
9326,2015,5408
9326,2014,3348
9326,2013,4892
9326,2012,5642
9326,2011,7844
9326,2010,3228
9326,2009,4907
9326,2008,0
9326,2007,0
9326,2006,0
9326,2005,0
9326,2004,0
9326,2003,1587
9326,2002,0
9326,2001,0
9326,2000,0
9326,1999,0
9326,1998,0
9342,2010,7078
9342,2009,11022
9342,2008,8261
9342,2007,13061
9342,2006,9918
9342,2005,10691
9342,2004,9270
9342,2003,1999
9342,2002,876
9342,2001,114
9342,2000,4366
9342,1999,9117
9342,1998,15231
9342,1997,2196
9342,1996,2231
9342,1995,2386
9342,1994,1944
9389,2018,11695
9389,2017,13141
9389,2016,9766
9389,2015,5896
9389,2014,8297
9389,2013,7189
9389,2012,8268
9389,2011,8810
9389,2010,7398
9389,2009,2390
9389,2008,0
9389,2007,0
9389,2006,1383
9389,2005,4266
9389,2004,5292
9389,2003,1529
9389,2002,4111
9389,2001,2512
9389,2000,3640
9389,1999,3983
9389,1998,11382
9389,1997,7677
9389,1996,3705
9389,1995,6321
9389,1994,6544
9534,2007,847
9534,2006,3922
9534,2005,5606
9534,2004,5739
9534,2003,1706
9534,2002,3670
9534,2001,5485
9534,2000,0
9534,1999,0
9534,1998,0
9534,1997,0
9534,1996,0
9534,1995,0
9534,1994,0
9779,2008,13919
9779,2007,0
9779,2006,6924
9779,2005,21005
9779,2004,19323
9779,2003,12401
9779,2002,12115
9779,2001,11031
9779,2000,14090
9779,1999,8427
9779,1998,68085
9779,1997,32250
9779,1996,43106
9779,1995,11388
9779,1994,11224
9801,2006,13177
9801,2005,9579
9801,2004,5513
9801,2003,2223
9801,2002,3054
9801,2001,1374
9801,2000,2336
9801,1999,2244
9801,1998,2736
9801,1997,0
9801,1996,0
9801,1995,0
9801,1994,0
9892,2017,29756
9892,2016,27524
9892,2015,25863
9892,2014,24305
9892,2013,26080
9892,2012,24263
9892,2011,23197
9892,2010,21785
9892,2009,20616
9892,2008,21348
9892,2007,53205
9892,2006,51268
